university_name,country,city,language,budget,major,gpa,sat,ielts,avg_temp,qs_rank,scholarships,description,strengths,weaknesses,can_admit
Федосеева University of к. Неплюевка,South Korea,к. Неплюевка,Корейский,25167,Art,3.07,1523,6.5,6.8,617,33,Федосеева University of к. Неплюевка — один из ведущих университетов в South Korea. Университет известен своими достижениями в области art.,Сильный студенческий обмен,Маленькое общежитие,0
Федоров University of д. Дубна,South Korea,д. Дубна,Корейский,48113,Economics,3.37,1260,5.3,27.1,489,422,Федоров University of д. Дубна — один из ведущих университетов в South Korea. Университет известен своими достижениями в области economics.,Сильные инженерные программы,Сложности с визами,0
Архипов University of к. Холмск,China,к. Холмск,Китайский,59246,Economics,3.16,905,5.7,27.7,817,194,Архипов University of к. Холмск — один из ведущих университетов в China. Университет известен своими достижениями в области economics.,Сильная программа по ИИ,Маленькое общежитие,0
Князев University of д. Ставрополь,France,д. Ставрополь,Французский,48844,Business,3.97,975,6.5,17.0,665,32,Князев University of д. Ставрополь — один из ведущих университетов в France. Университет известен своими достижениями в области business.,Развитая инфраструктура,Нехватка стажировок,0
Чернова University of ст. Льгов,Russia,ст. Льгов,Русский,18287,Psychology,2.11,1571,5.7,7.4,54,150,Чернова University of ст. Льгов — один из ведущих университетов в Russia. Университет известен своими достижениями в области psychology.,Сильная программа по ИИ,Сложности с визами,0
Галкин University of клх Тольятти,South Korea,клх Тольятти,Корейский,27034,Economics,3.9,912,6.1,13.6,653,50,Галкин University of клх Тольятти — один из ведущих университетов в South Korea. Университет известен своими достижениями в области economics.,Отличное финансирование исследований,Нехватка стажировок,0
Маркова University of с. Таштагол,Netherlands,с. Таштагол,Английский,41887,Medicine,2.28,1084,6.8,27.2,142,169,Маркова University of с. Таштагол — один из ведущих университетов в Netherlands. Университет известен своими достижениями в области medicine.,Отличное финансирование исследований,Нехватка стажировок,0
Буров University of п. Белорецк,Singapore,п. Белорецк,Английский,47297,Chemistry,3.66,1540,6.9,3.1,1210,476,Буров University of п. Белорецк — один из ведущих университетов в Singapore. Университет известен своими достижениями в области chemistry.,Развитая инфраструктура,Нехватка стажировок,1
Шаров University of к. Черусти,South Korea,к. Черусти,Корейский,28466,Medicine,2.58,1179,7.8,18.0,609,34,Шаров University of к. Черусти — один из ведущих университетов в South Korea. Университет известен своими достижениями в области medicine.,Сильные инженерные программы,Сложности с визами,0
Молчанова University of г. Елец,Germany,г. Елец,Немецкий,46644,Biology,4.52,1201,7.9,-0.1,903,164,Молчанова University of г. Елец — один из ведущих университетов в Germany. Университет известен своими достижениями в области biology.,Развитая инфраструктура,Сложности с визами,1
Карпов University of ст. Эльтон,Singapore,ст. Эльтон,Английский,23255,Psychology,3.49,976,4.2,-0.5,334,426,Карпов University of ст. Эльтон — один из ведущих университетов в Singapore. Университет известен своими достижениями в области psychology.,Развитая инфраструктура,Нехватка стажировок,0
Филатова University of г. Богучар,Singapore,г. Богучар,Английский,55511,Computer Science,3.26,1251,5.6,2.7,571,323,Филатова University of г. Богучар — один из ведущих университетов в Singapore. Университет известен своими достижениями в области computer science.,Сильные инженерные программы,Высокая стоимость жизни,0
Авдеев University of п. Гдов,USA,п. Гдов,Английский,44042,Computer Science,3.88,1166,5.4,-1.4,297,219,Авдеев University of п. Гдов — один из ведущих университетов в USA. Университет известен своими достижениями в области computer science.,Сильный студенческий обмен,Высокая стоимость жизни,0
Кононов University of г. Новая Игирма,France,г. Новая Игирма,Французский,52818,Architecture,3.71,1294,6.8,-0.4,472,104,Кононов University of г. Новая Игирма — один из ведущих университетов в France. Университет известен своими достижениями в области architecture.,Развитая инфраструктура,Дорогая аренда жилья,1
Сазонов University of д. Мелеуз,Canada,д. Мелеуз,Английский,58706,Engineering,3.62,1509,7.3,23.0,551,221,Сазонов University of д. Мелеуз — один из ведущих университетов в Canada. Университет известен своими достижениями в области engineering.,Отличное финансирование исследований,Высокая стоимость жизни,1
Бирюков University of с. Кизилюрт,Australia,с. Кизилюрт,Английский,33242,Physics,3.06,1049,7.0,20.9,1331,197,Бирюков University of с. Кизилюрт — один из ведущих университетов в Australia. Университет известен своими достижениями в области physics.,Сильная программа по ИИ,Высокая стоимость жизни,0
Сидорова University of г. Охотск,USA,г. Охотск,Английский,20730,Political Science,2.66,1186,6.8,17.2,1146,24,Сидорова University of г. Охотск — один из ведущих университетов в USA. Университет известен своими достижениями в области political science.,Сильный студенческий обмен,Маленькое общежитие,0
Андреев University of д. Луховицы,USA,д. Луховицы,Английский,18016,Art,2.17,911,5.9,-2.5,548,101,Андреев University of д. Луховицы — один из ведущих университетов в USA. Университет известен своими достижениями в области art.,Сильная программа по ИИ,Нехватка стажировок,0
Лихачев University of г. Кашхатау,United Kingdom,г. Кашхатау,Английский,22051,Economics,2.6,1003,4.5,15.4,1225,202,Лихачев University of г. Кашхатау — один из ведущих университетов в United Kingdom. Университет известен своими достижениями в области economics.,Отличное финансирование исследований,Маленькое общежитие,0
Агафонова University of д. Яхрома,Canada,д. Яхрома,Английский,38065,Political Science,2.97,1585,4.1,25.9,779,378,Агафонова University of д. Яхрома — один из ведущих университетов в Canada. Университет известен своими достижениями в области political science.,Сильный студенческий обмен,Дорогая аренда жилья,0
